Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars)
4,2,-14819485,-12225332,135620462,-13564249,-9918591,-22416862,13400065
4,2,-15226633,-12588886,130504660,-12982061,137349654,-23569023,13511205
4,2,-16442259,-13674357,135620462,-11677959,-13829809,-24298725,13647992
4,2,-16465525,-13695131,135620462,-12097134,154112017,-24298725,13742033
4,2,-16215420,-13471805,130504660,-12213572,-16157915,-24029887,13921567
4,2,-16512056,-13736680,135620462,-8976605,-2654900,-24298725,14075453
6,1,-11329649,-12272074,58883419,6644321,132693442,-871455,-85768724
4,2,-14627544,-14889668,130504660,-4225949,-7869857,-19267623,14160945
4,2,-13778351,-14006749,135620462,-4225949,-7962982,-17616192,13742033
2,2,-13755085,-11274896,135620462,-10630020,-2748024,-16502437,13801878
4,2,-14487951,-11929294,130504660,-14332737,-7124864,-17155328,13665091
4,2,-15354594,-12703146,135620462,-11910834,-13457312,-20189351,13553951
4,2,-14819485,-12225332,135620462,-13564249,-9918591,-22416862,13400065
4,2,-15226633,-12588886,130504660,-12982061,137349654,-23569023,13511205
4,2,-16442259,-13674357,135620462,-11677959,-13829809,-24298725,13647992
4,2,-16465525,-13695131,135620462,-12097134,154112017,-24298725,13742033
4,2,-16215420,-13471805,130504660,-12213572,-16157915,-24029887,13921567
4,2,-16512056,-13736680,135620462,-8976605,-2654900,-24298725,14075453
4,2,-16512056,-13736680,115157251,-11282071,-12991691,-24298725,13981411
4,2,-16907571,-14089848,135620462,-9861531,-2003030,-24298725,13955764
4,2,-17070430,-14235270,135620462,-11095771,-978664,-24298725,14391773
4,2,-17070430,-16837282,115157251,-6554702,-3493018,-24298725,14494364
4,2,-17489210,-17096964,115157251,-7136890,-2468652,-24298725,14605503
4,2,-16587669,-13804198,135620462,-8976605,-885540,-24298725,14750840
4,2,-16587669,-13804198,99809842,-8883455,-1723658,-24298725,14836332
4,2,-17611355,-14718278,130504660,-10699883,-1630533,-24029887,15306538
4,2,-17652069,-14754633,135620462,-15636839,-17461654,-24298725,15545916
4,2,-16564404,-13783423,135620462,-13308086,-4424261,-23914671,16383739
4,2,-15337145,-12687565,130504660,-14821776,5113235,-17308949,17059126
3,2,-14842751,-12246106,135620462,-13028636,84268838,-16502437,17195913
3,2,-14842751,-12246106,135620462,-8673867,124312260,-16464031,17443840
4,2,-16512056,-13736680,115157251,-11282071,-12991691,-24298725,13981411
4,2,-16907571,-14089848,135620462,-9861531,-2003030,-24298725,13955764
4,2,-17070430,-14235270,135620462,-11095771,-978664,-24298725,14391773
4,2,-17070430,-16837282,115157251,-6554702,-3493018,-24298725,14494364
4,2,-17489210,-17096964,115157251,-7136890,-2468652,-24298725,14605503
4,2,-16587669,-13804198,135620462,-8976605,-885540,-24298725,14750840
4,2,-16587669,-13804198,99809842,-8883455,-1723658,-24298725,14836332
4,2,-17611355,-14718278,130504660,-10699883,-1630533,-24029887,15306538
4,2,-17652069,-14754633,135620462,-15636839,-17461654,-24298725,15545916
4,2,-16564404,-13783423,135620462,-13308086,-4424261,-23914671,16383739
4,2,-15337145,-12687565,130504660,-14821776,5113235,-17308949,17059126
3,2,-14842751,-12246106,135620462,-13028636,84268838,-16502437,17195913
3,2,-14842751,-12246106,135620462,-8673867,124312260,-16464031,17443840
